step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
225,51202,450,0.02067716639660509,1.0,1.0,0.021452026800939165,1.0,1.0,,,,,,
226,51444,452,0.023951428184980614,1.0,1.0,,,,,,,,,
227,51686,454,0.029125975442632807,0.5,0.8,,,,,,,,,
228,51960,456,0.028823220545852617,0.5,0.8,,,,,,,,,
229,52106,458,0.029444553878127205,1.0,1.0,,,,,,,,,
230,52332,460,0.029173717447031646,0.5,0.8,,,,,,,,,
231,52590,462,0.03269342672631126,0.5,0.8,,,,,,,,,
232,52752,464,0.03167283801694794,0.5,0.8,,,,,,,,,
233,52994,466,0.03154948386927511,1.0,1.0,0.030391917914745135,0.5,0.75,,,,,,
234,53268,468,0.03365642407013076,0.5,0.8,,,,,,,,,
235,53398,470,0.040687996392987605,0.5,0.75,,,,,,,,,
236,53640,472,0.03004196112747589,1.0,1.0,,,,,,,,,
237,53866,474,0.024616069193473648,0.5,0.8,,,,,,,,,
238,54108,476,0.04057025689234675,0.0,0.6666666666666666,,,,,,,,,
239,54238,478,0.02748459207833321,0.5,0.8,,,,,,,,,
240,54352,480,0.04446484519799793,0.5,0.8,,,,,,,,,
241,54578,482,0.03064767113728034,0.0,0.6666666666666666,0.03336180670075363,0.5,0.8,,,,,,
242,54836,484,0.022046914089173128,1.0,1.0,,,,,,,,,
243,55110,486,0.026163327440435213,0.5,0.8,,,,,,,,,
244,55400,488,0.026443775934371846,0.5,0.8,,,,,,,,,
245,55626,490,0.02903617682299423,1.0,1.0,,,,,,,,,
246,55852,492,0.026432651192073022,0.5,0.8,,,,,,,,,
247,56046,494,0.03363276668043303,0.5,0.8,,,,,,,,,
248,56192,496,0.02929998618849721,1.0,1.0,,,,,,,,,
249,56450,498,0.03387451177523872,0.5,0.8,0.012203420650983184,1.0,1.0,,,,,,
250,56676,500,0.02764098907377372,0.5,0.8,,,,,,,,,
251,56918,502,0.029166312485188733,0.5,0.8,,,,,,,,,
252,57048,504,0.03167163206110843,1.0,1.0,,,,,,,,,
253,57290,506,0.02427105257610189,0.5,0.8333333333333334,,,,,,,,,
254,57404,508,0.033318654393211286,0.5,0.8,,,,,,,,,
255,57550,510,0.03768244094443667,0.0,0.5,,,,,,,,,
256,57792,512,0.025165115693785385,0.0,0.6,,,,,,,,,
257,58242,514,0.022165849330727468,1.0,1.0,0.030482417710959456,0.5,0.8,,,,,,
258,58388,516,0.030797736086225196,1.0,1.0,,,,,,,,,
259,58630,518,0.03222623988995292,0.0,0.6666666666666666,,,,,,,,,
260,58744,520,0.036838981267584524,0.5,0.8,,,,,,,,,
261,58954,522,0.04213635112827363,0.0,0.6666666666666666,,,,,,,,,
262,59196,524,0.028349391638065758,0.5,0.8,,,,,,,,,
263,59406,526,0.028142587261708492,0.5,0.75,,,,,,,,,
264,59664,528,0.02075832152220684,1.0,1.0,,,,,,,,,
265,59874,530,0.029299445514373194,0.5,0.8,0.023680748888170768,1.0,1.0,,,,,,
266,60100,532,0.03214804608914019,0.5,0.8,,,,,,,,,
267,60294,534,0.024539960054098628,0.5,0.8,,,,,,,,,
268,60424,536,0.029596513465924092,0.5,0.8,,,,,,,,,
269,60666,538,0.02137176547031989,1.0,1.0,,,,,,,,,
270,60924,540,0.024951962585674326,0.5,0.75,,,,,,,,,
271,61086,542,0.025323123038509043,1.0,1.0,,,,,,,,,
272,61344,544,0.020246126844475753,0.5,0.8,,,,,,,,,
273,61554,546,0.03321480512240529,0.5,0.8,0.029851939100113894,0.5,0.8,,,,,,
274,61764,548,0.03024898069086318,1.0,1.0,,,,,,,,,
275,61974,550,0.028966882604634942,0.5,0.8,,,,,,,,,
276,62232,552,0.039558186367913785,0.0,0.6666666666666666,,,,,,,,,
277,62362,554,0.03901956444755513,0.5,0.8333333333333334,,,,,,,,,
278,62604,556,0.025375995970372513,0.5,0.8333333333333334,,,,,,,,,
279,62814,558,0.02703992327508856,0.5,0.8,,,,,,,,,
280,63072,560,0.03227088161814336,0.5,0.8,,,,,,,,,
281,63282,562,0.02414362549103474,1.0,1.0,0.035536567019137884,0.5,0.8,,,,,,
282,63412,564,0.034143995408848014,0.5,0.8,,,,,,,,,
283,63622,566,0.045651734557939284,0.0,0.5,,,,,,,,,
284,63864,568,0.03091292625321815,0.5,0.8,,,,,,,,,
285,64122,570,0.03166194104465092,0.5,0.8,,,,,,,,,
286,64300,572,0.02450402126914841,1.0,1.0,,,,,,,,,
287,64430,574,0.029739367150980345,1.0,1.0,,,,,,,,,
288,64640,576,0.02662846871813669,1.0,1.0,,,,,,,,,
289,64770,578,0.041049752325872074,0.5,0.8,0.03032319394428585,0.5,0.8,,,,,,
290,64980,580,0.023442850995128748,1.0,1.0,,,,,,,,,
291,65206,582,0.03641087721687395,0.5,0.8,,,,,,,,,
292,65432,584,0.02569324119215773,0.5,0.8,,,,,,,,,
